link	mun	region	lon	lat	ekatte	settlement_type	name	type	name_tr	mun_tr	region_tr
https://www.ekatte.com/област-софия/община-сливница/пищане	Сливница	София-област	22.865768	42.824371	56558	с	Пищане		pischane	slivnitsa	sofija-oblast
https://www.ekatte.com/област-смолян/община-девин/жребево	Девин	Смолян	24.417574	41.5671	29502	с	Жребево		zhrebevo	devin	smoljan
https://www.ekatte.com/област-хасково/община-хасково/подкрепа	Хасково	Хасково	25.680561	41.91843	57042	с	Подкрепа		podkrepa	haskovo	haskovo
https://www.ekatte.com/област-благоевград/община-струмяни/гореме	Струмяни	Благоевград	23.091358	41.64107	16033	с	Гореме		goreme	strumjani	blagoevgrad
https://www.ekatte.com/област-велико-търново/община-елена/игнатовци	Елена	Велико Търново	25.963505	42.850813	32305	с	Игнатовци		ignatovtsi	elena	veliko-trnovo
https://www.ekatte.com/област-пазарджик/община-велинград/всемирци	Велинград	Пазарджик	23.867303	42.030569	12334	с	Всемирци		vsemirtsi	velingrad	pazardzhik
https://www.ekatte.com/област-добрич/община-крушари/ефрейтор-бакалово	Крушари	Добрич	27.609002	43.83372	27656	с	Ефрейтор Бакалово		efrejtor-bakalovo	krushari	dobrich
https://www.ekatte.com/област-софия/община-елин-пелин/габра	Елин Пелин	София-област	23.61082	42.534569	14074	с	Габра		gabra	elin-pelin	sofija-oblast
https://www.ekatte.com/област-велико-търново/община-елена/шилковци	Елена	Велико Търново	25.775389	42.925766	83171	с	Шилковци		shilkovtsi	elena	veliko-trnovo
https://www.ekatte.com/област-габрово/община-дряново/раданчето	Дряново	Габрово	25.506753	42.943138	61296	с	Раданчето		radancheto	drjanovo	gabrovo
https://www.ekatte.com/област-габрово/община-трявна/бърдени	Трявна	Габрово	25.554322	42.890754	7421	с	Бърдени		brdeni	trjavna	gabrovo
https://www.ekatte.com/област-пазарджик/община-септември/ковачево	Септември	Пазарджик	24.197588	42.205109	37491	с	Ковачево		kovachevo	septemvri	pazardzhik
https://www.ekatte.com/област-шумен/община-каолиново/браничево	Каолиново	Шумен	27.091113	43.682733	6094	с	Браничево		branichevo	kaolinovo	shumen
https://www.ekatte.com/област-варна/община-долни-чифлик/рудник	Долни чифлик	Варна	27.772021	42.95053	63197	с	Рудник		rudnik	dolni-chiflik	varna
https://www.ekatte.com/област-видин/община-макреш/вълчек	Макреш	Видин	22.71472	43.785359	12557	с	Вълчек		vlchek	makresh	vidin
https://www.ekatte.com/област-разград/община-лозница/синя-вода	Лозница	Разград	26.577032	43.403302	66593	с	Синя вода		sinja-voda	loznitsa	razgrad
